"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient"
24, 1.000000000000000e+00, 5.352202629500000e-08, 9.963020565172461e-01, -2.349416414048802e-01, 1.592124486947400e-04
25, 9.909241437988340e-01, -1.280289614488857e-03, 1.000594573948852e+00, 3.759849483284879e-02, 6.787830703451736e-03
26, 9.789211302792580e-01, -2.951446198418808e-03, 9.998799215837145e-01, -7.776149780816066e-03, 5.618920021798939e-03
27, 9.631568360186920e-01, -5.108981458577545e-03, 9.991555920552089e-01, -5.376521599320623e-02, 4.350471586016819e-03
28, 9.426407105822270e-01, -7.855481327107042e-03, 9.988669052499851e-01, -7.209449303851620e-02, 3.852261662756125e-03
29, 9.162555145009680e-01, -1.128961886009035e-02, 9.988446245399073e-01, -7.350913790760182e-02, 3.490350885872762e-03
30, 8.828360320456839e-01, -1.548809659764239e-02, 9.990073642781623e-01, -6.317648087312207e-02, 3.319658952509293e-03
31, 8.413159970120960e-01, -2.048015683562499e-02, 9.992862718584561e-01, -4.546810551014061e-02, 3.199011549837882e-03
32, 7.909517772165610e-01, -2.621660130830753e-02, 9.996415847416449e-01, -2.290861142904668e-02, 3.102207643021897e-03
33, 7.316031585245610e-01, -3.253806414443636e-02, 1.000059109687066e+00, 3.600845392252240e-03, 3.029549060113745e-03
34, 6.640065698311099e-01, -3.915032464739417e-02, 1.000533932989891e+00, 3.374828444229313e-02, 2.981245924255380e-03
35, 5.899327756923080e-01, -4.561861289428874e-02, 1.001076971216800e+00, 6.822681940511173e-02, 2.962309942260442e-03
36, 5.121166001065770e-01, -5.139794887290158e-02, 1.001718183426621e+00, 1.089386081879138e-01, 2.959991823228945e-03
37, 4.339120676130220e-01, -5.591460064650605e-02, 1.002486431280837e+00, 1.577161328429320e-01, 2.914229246158273e-03
38, 3.587469844042950e-01, -5.869148183384367e-02, 1.003367186734553e+00, 2.136369800317184e-01, 2.848054575598999e-03
39, 2.895540445181870e-01, -5.947265120547269e-02, 1.004414766775525e+00, 2.801498391256321e-01, 2.801860673169647e-03
40, 2.283665749856950e-01, -5.828472232042683e-02, 1.005642460822367e+00, 3.580984807131703e-01, 2.682632657889230e-03
41, 1.761797307773510e-01, -5.540399685008031e-02, 1.007142638097277e+00, 4.533476032616742e-01, 2.457042467145041e-03
42, 1.330574640378200e-01, -5.125402533974487e-02, 1.008812252274710e+00, 5.593545986047133e-01, 2.126100826100125e-03
43, 9.838551560343448e-02, -4.628967359474944e-02, 1.010578424961396e+00, 6.714922782573430e-01, 1.765119153904781e-03
44, 7.115831019240228e-02, -4.091264364521334e-02, 1.012413448072251e+00, 7.880014029377823e-01, 1.544755650665596e-03
45, 5.022241269090757e-02, -3.543266689255811e-02, 1.014124062271704e+00, 8.966115680442891e-01, 2.147899649353090e-03
46, 3.444508613221498e-02, -3.006547322461565e-02, 1.015399378209707e+00, 9.775838145237993e-01, 2.610414384912996e-04
47, 2.280943840223927e-02, -2.495170224279449e-02, 1.015741312935387e+00, 9.992939038142915e-01, 2.073056003763749e-03
48, 1.445220176924677e-02, -2.018402699144572e-02, 1.014508756556357e+00, 9.210365434624886e-01, 3.784774500561598e-03
49, 8.660977828664375e-03, -1.583432528077909e-02, 1.010412003554460e+00, 6.609258650413524e-01, 7.619684601581609e-03
