"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient"
275, 6.368597311040070e-01, -4.162026487339388e-02, 1.001861383928342e+00, 1.180306817485373e-01, 2.713217853207751e-03
276, 6.276282525902900e-01, -4.243462858861940e-02, 1.001882146203301e+00, 1.193489182696294e-01, 2.719054540043942e-03
277, 6.183141866275500e-01, -4.324274839564234e-02, 1.001904206901391e+00, 1.207495941571357e-01, 2.724883620641854e-03
278, 6.089230652104620e-01, -4.404353001843556e-02, 1.001927604260925e+00, 1.222351372344779e-01, 2.730703357142838e-03
279, 5.994606211969700e-01, -4.483586085111709e-02, 1.001952379354144e+00, 1.238081552568636e-01, 2.736506657142731e-03
280, 5.899327756923080e-01, -4.561861289428874e-02, 1.001978576960013e+00, 1.254714913262550e-01, 2.742297559550418e-03
281, 5.803456244206100e-01, -4.639064562994082e-02, 1.002006244533194e+00, 1.272281584299281e-01, 2.748061829574685e-03
282, 5.707054231490321e-01, -4.715080946865579e-02, 1.002035433122621e+00, 1.290813977623012e-01, 2.753795791755945e-03
283, 5.610185722295000e-01, -4.789794933213104e-02, 1.002066198400529e+00, 1.310347440599160e-01, 2.759496469310706e-03
284, 5.512916003363530e-01, -4.863090808605761e-02, 1.002098598675931e+00, 1.330918994734535e-01, 2.765147526569334e-03
285, 5.415311474864990e-01, -4.934853080700029e-02, 1.002132697074256e+00, 1.352568719571191e-01, 2.770744362354941e-03
286, 5.317439474301470e-01, -5.004966851411126e-02, 1.002168560030324e+00, 1.375338795845500e-01, 2.776273293682867e-03
287, 5.219368095125050e-01, -5.073318251519467e-02, 1.002206257891984e+00, 1.399273888751449e-01, 2.781721437057211e-03
288, 5.121166001065770e-01, -5.139794887290158e-02, 1.002245866298775e+00, 1.424422023278699e-01, 2.787076520517779e-03
289, 5.022902237254860e-01, -5.204286235180954e-02, 1.002287462547293e+00, 1.450832276512763e-01, 2.792308391024169e-03
290, 4.924646039207970e-01, -5.266684144175821e-02, 1.002331143313149e+00, 1.478566029647202e-01, 2.797422984262841e-03
291, 4.826466640805560e-01, -5.326883253102981e-02, 1.002376978988476e+00, 1.507667975992987e-01, 2.802398147048767e-03
292, 4.728433082391680e-01, -5.384781416072871e-02, 1.002425057226290e+00, 1.538193768124742e-01, 2.807206295017709e-03
