"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient"
384, 1.000000000000000e+00, 5.352202629500000e-08, 1.001702073034544e+00, 1.079157286023085e-01, 9.756524410238770e-05
385, 9.995049412302290e-01, -7.016296218106801e-05, 1.001886426521815e+00, 1.196206838732624e-01, 4.890283775194283e-03
386, 9.990009933457160e-01, -1.415916575292282e-04, 1.001860311620836e+00, 1.179625988954040e-01, 3.937901552037119e-03
387, 9.984880071145220e-01, -2.142594339654382e-04, 1.001820617828069e+00, 1.154423641238560e-01, 3.230182420203292e-03
388, 9.979658291430820e-01, -2.881794857271442e-04, 1.001799691849731e+00, 1.141137337623037e-01, 2.857043739325904e-03
389, 9.974343048627150e-01, -3.633726561478837e-04, 1.001792402766509e+00, 1.136509359365531e-01, 2.683713096072213e-03
390, 9.968932772885490e-01, -4.398586638588618e-04, 1.001792861764339e+00, 1.136800785861257e-01, 2.623071897837470e-03
391, 9.963425871536200e-01, -5.176573197351603e-04, 1.001797761854425e+00, 1.139911946714415e-01, 2.615950277059126e-03
392, 9.957820729228830e-01, -5.967886532841323e-04, 1.001803714863608e+00, 1.143691626027387e-01, 2.626281172913639e-03
393, 9.952115707715050e-01, -6.772729105494046e-04, 1.001809265957379e+00, 1.147216121563510e-01, 2.637409692591656e-03
394, 9.946309145593470e-01, -7.591305470417242e-04, 1.001814010378326e+00, 1.150228445105271e-01, 2.644236129314661e-03
395, 9.940399358363250e-01, -8.423822379350335e-04, 1.001818160258406e+00, 1.152863283287249e-01, 2.646923061744203e-03
396, 9.934384637941019e-01, -9.270488597400344e-04, 1.001821989626138e+00, 1.155294622052524e-01, 2.647069340238209e-03
397, 9.928263252886970e-01, -1.013151509336341e-03, 1.001825744630031e+00, 1.157678745795574e-01, 2.646108590457866e-03
398, 9.922033447911550e-01, -1.100711481734587e-03, 1.001829530915322e+00, 1.160082730696198e-01, 2.644871136501978e-03
399, 9.915693443936120e-01, -1.189750279688650e-03, 1.001833388773548e+00, 1.162532158621208e-01, 2.643709940948485e-03
400, 9.909241437988340e-01, -1.280289614488857e-03, 1.001837308996581e+00, 1.165021183153831e-01, 2.642708219329320e-03
401, 9.902675602858260e-01, -1.372351390290136e-03, 1.001841273088414e+00, 1.167538060826436e-01, 2.641834217280219e-03
402, 9.895994087262190e-01, -1.465957716968706e-03, 1.001845265858818e+00, 1.170073147071682e-01, 2.641041721687483e-03
403, 9.889195015550920e-01, -1.561130895382252e-03, 1.001849280362806e+00, 1.172622032384559e-01, 2.640294560708260e-03
404, 9.882276487590520e-01, -1.657893415929766e-03, 1.001853311508201e+00, 1.175181483645612e-01, 2.639571788189657e-03
405, 9.875236578853650e-01, -1.756267964583540e-03, 1.001857362642291e+00, 1.177753626110701e-01, 2.638870227418253e-03
406, 9.868073340184690e-01, -1.856277410554656e-03, 1.001861436027887e+00, 1.180339896482376e-01, 2.638190660858949e-03
407, 9.860784797714760e-01, -1.957944801003816e-03, 1.001865533620855e+00, 1.182941536576585e-01, 2.637534097015438e-03
408, 9.853368952903420e-01, -2.061293361678059e-03, 1.001869657115429e+00, 1.185559622096059e-01, 2.636901616884657e-03
409, 9.845823782497600e-01, -2.166346496331530e-03, 1.001873811029641e+00, 1.188197021625497e-01, 2.636296527686037e-03
410, 9.838147238361660e-01, -2.273127772284692e-03, 1.001877996508923e+00, 1.190854462420847e-01, 2.635717489894471e-03
411, 9.830337247539950e-01, -2.381660921028200e-03, 1.001882215548005e+00, 1.193533210974270e-01, 2.635163580523391e-03
