"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient"
384, 1.000000000000000e+00, 5.352202629500000e-08, 1.001663410389399e+00, 1.054609633642051e-01, 9.134383553457807e-05
385, 9.995049412302290e-01, -7.016296218106801e-05, 1.001931573555912e+00, 1.224871553599109e-01, 4.858805241531806e-03
386, 9.990009933457160e-01, -1.415916575292282e-04, 1.001879739458438e+00, 1.191961094381754e-01, 3.981360397605761e-03
387, 9.984880071145220e-01, -2.142594339654382e-04, 1.001833219346639e+00, 1.162424586238235e-01, 3.271661790615075e-03
388, 9.979658291430820e-01, -2.881794857271442e-04, 1.001808248260261e+00, 1.146569966211449e-01, 2.870153734466627e-03
389, 9.974343048627150e-01, -3.633726561478837e-04, 1.001798016388824e+00, 1.140073555469738e-01, 2.682484924755027e-03
390, 9.968932772885490e-01, -4.398586638588618e-04, 1.001797703002066e+00, 1.139874580226679e-01, 2.617217525555236e-03
391, 9.963425871536200e-01, -5.176573197351603e-04, 1.001802222607829e+00, 1.142744164311379e-01, 2.609220318369091e-03
392, 9.957820729228830e-01, -5.967886532841323e-04, 1.001807922765225e+00, 1.146363303192142e-01, 2.620382570703080e-03
393, 9.952115707715050e-01, -6.772729105494046e-04, 1.001813169854698e+00, 1.149694780588905e-01, 2.632815328329494e-03
394, 9.946309145593470e-01, -7.591305470417242e-04, 1.001817505697353e+00, 1.152447689963657e-01, 2.640757862189866e-03
395, 9.940399358363250e-01, -8.423822379350335e-04, 1.001821180216706e+00, 1.154780712533827e-01, 2.644160992765751e-03
396, 9.934384637941019e-01, -9.270488597400344e-04, 1.001824514981357e+00, 1.156898018349700e-01, 2.644673684225708e-03
397, 9.928263252886970e-01, -1.013151509336341e-03, 1.001827782625687e+00, 1.158972708190674e-01, 2.643869820547623e-03
398, 9.922033447911550e-01, -1.100711481734587e-03, 1.001831097845797e+00, 1.161077604803981e-01, 2.642701619517789e-03
399, 9.915693443936120e-01, -1.189750279688650e-03, 1.001834497628664e+00, 1.163236191927868e-01, 2.641592205049963e-03
400, 9.909241437988340e-01, -1.280289614488857e-03, 1.001837961628709e+00, 1.165435551765637e-01, 2.640650371973376e-03
401, 9.902675602858260e-01, -1.372351390290136e-03, 1.001841466720457e+00, 1.167661001511143e-01, 2.639845640977957e-03
402, 9.895994087262190e-01, -1.465957716968706e-03, 1.001844990132948e+00, 1.169898083446504e-01, 2.639124877412227e-03
403, 9.889195015550920e-01, -1.561130895382252e-03, 1.001848522014505e+00, 1.172140542553533e-01, 2.638445599677950e-03
404, 9.882276487590520e-01, -1.657893415929766e-03, 1.001852057190179e+00, 1.174385093158535e-01, 2.637783669707444e-03
405, 9.875236578853650e-01, -1.756267964583540e-03, 1.001855596009247e+00, 1.176631957024468e-01, 2.637135445713347e-03
406, 9.868073340184690e-01, -1.856277410554656e-03, 1.001859139178076e+00, 1.178881582636234e-01, 2.636502654818804e-03
407, 9.860784797714760e-01, -1.957944801003816e-03, 1.001862688454597e+00, 1.181135086138330e-01, 2.635887629208456e-03
408, 9.853368952903420e-01, -2.061293361678059e-03, 1.001866244950982e+00, 1.183393173670244e-01, 2.635292588055064e-03
409, 9.845823782497600e-01, -2.166346496331530e-03, 1.001869810071511e+00, 1.185656736836485e-01, 2.634721674151033e-03
410, 9.838147238361660e-01, -2.273127772284692e-03, 1.001873385043496e+00, 1.187926554879792e-01, 2.634174124982343e-03
411, 9.830337247539950e-01, -2.381660921028200e-03, 1.001876971379513e+00, 1.190203588164465e-01, 2.633649432080771e-03
412, 9.822391712272380e-01, -2.491969834944034e-03, 1.001880570643145e+00, 1.192488829438979e-01, 2.633147966513037e-03
413, 9.814308509989190e-01, -2.604078558128462e-03, 1.001884184622407e+00, 1.194783413947997e-01, 2.632669196881505e-03
414, 9.806085493252490e-01, -2.718011281798061e-03, 1.001887815177307e+00, 1.197088522646523e-01, 2.632212238553578e-03
415, 9.797720489840330e-01, -2.833792339193476e-03, 1.001891464287226e+00, 1.199405412281735e-01, 2.631776699861163e-03
416, 9.789211302792580e-01, -2.951446198418808e-03, 1.001895133989842e+00, 1.201735376613232e-01, 2.631362364657286e-03
417, 9.780555710472130e-01, -3.070997453806953e-03, 1.001898826383836e+00, 1.204079748134543e-01, 2.630967401681932e-03
418, 9.771751466664890e-01, -3.192470825092900e-03, 1.001902543598618e+00, 1.206439878848908e-01, 2.630592246223967e-03
419, 9.762796300624300e-01, -3.315891145153454e-03, 1.001906287823020e+00, 1.208817158486757e-01, 2.630236617590813e-03
420, 9.753687917200690e-01, -3.441283350046040e-03, 1.001910061279675e+00, 1.211212998241229e-01, 2.629898869501895e-03
421, 9.744423996983940e-01, -3.568672476037155e-03, 1.001913866222606e+00, 1.213628829234165e-01, 2.629578578458025e-03
422, 9.735002196451090e-01, -3.698083649881599e-03, 1.001917704932737e+00, 1.216066099667321e-01, 2.629275151251474e-03
423, 9.725420148134880e-01, -3.829542079622556e-03, 1.001921579719113e+00, 1.218526275598459e-01, 2.628988013577043e-03
424, 9.715675460812661e-01, -3.963073044857662e-03, 1.001925492921285e+00, 1.221010842452096e-01, 2.628716707206334e-03
