"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient"
96, 1.000000000000000e+00, 5.352202629500000e-08, 1.003155882986621e+00, 2.002209012000250e-01, 2.301551802650219e-05
97, 9.979658291430820e-01, -2.881794857271442e-04, 1.003294194354245e+00, 2.090025542919872e-01, 2.797736453626514e-03
98, 9.957820729228830e-01, -5.967886532841323e-04, 1.003196658390960e+00, 2.028098095575530e-01, 2.570979310811093e-03
99, 9.934384637941019e-01, -9.270488597400344e-04, 1.003055511941953e+00, 1.938481517297930e-01, 2.240532040505896e-03
100, 9.909241437988340e-01, -1.280289614488857e-03, 1.002939192885514e+00, 1.864628325100396e-01, 2.059207684884708e-03
101, 9.882276487590520e-01, -1.657893415929766e-03, 1.002844241547822e+00, 1.804341905946511e-01, 2.005071183791132e-03
102, 9.853368952903420e-01, -2.061293361678059e-03, 1.002767599409466e+00, 1.755680347404287e-01, 2.018716101954450e-03
103, 9.822391712272380e-01, -2.491969834944034e-03, 1.002703451218792e+00, 1.714951435048908e-01, 2.055856192063159e-03
104, 9.789211302792580e-01, -2.951446198418808e-03, 1.002647333715055e+00, 1.679321359324258e-01, 2.096371755969256e-03
105, 9.753687917200690e-01, -3.441283350046040e-03, 1.002596304800901e+00, 1.646922126386376e-01, 2.134152838935428e-03
106, 9.715675460812661e-01, -3.963073044857662e-03, 1.002548449061099e+00, 1.616537602495166e-01, 2.168232172606660e-03
107, 9.675021678017420e-01, -4.518429822299970e-03, 1.002502525597539e+00, 1.587379917722791e-01, 2.199014079372123e-03
108, 9.631568360186920e-01, -5.108981458577545e-03, 1.002457659602873e+00, 1.558893640162875e-01, 2.227579052081774e-03
109, 9.585151646336830e-01, -5.736357801147233e-03, 1.002410697393354e+00, 1.529076435727040e-01, 2.254003395453024e-03
110, 9.535602429161220e-01, -6.402177880090121e-03, 1.002363085918954e+00, 1.498847000608268e-01, 2.279316001350446e-03
111, 9.482746880048850e-01, -7.108035234927211e-03, 1.002315739986059e+00, 1.468786162866453e-01, 2.303464975420106e-03
112, 9.426407105822270e-01, -7.855481327107042e-03, 1.002268056836970e+00, 1.438511220117775e-01, 2.326551889904147e-03
113, 9.366401951685740e-01, -8.646007049145999e-03, 1.002220472936961e+00, 1.408299292506746e-01, 2.349002101179631e-03
114, 9.302547962764830e-01, -9.481022247350132e-03, 1.002173391246550e+00, 1.378406227368556e-01, 2.370614668354559e-03
115, 9.234660517702999e-01, -1.036183331256595e-02, 1.002127105085540e+00, 1.349018259052710e-01, 2.391051640194393e-03
116, 9.162555145009680e-01, -1.128961886009035e-02, 1.002081871430013e+00, 1.320298546585083e-01, 2.410839660864964e-03
117, 9.086049032279730e-01, -1.226540359178139e-02, 1.002037951578516e+00, 1.292412993407228e-01, 2.429781649457949e-03
118, 9.004962734807360e-01, -1.329003047580013e-02, 1.001995640957662e+00, 1.265549171523191e-01, 2.447660510892895e-03
119, 8.919122087664410e-01, -1.436413140679768e-02, 1.001955274701862e+00, 1.239919864174910e-01, 2.465076638970780e-03
