"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient"
96, 1.000000000000000e+00, 5.352202629500000e-08, 1.003117250410918e+00, 1.977680451282704e-01, 4.767904820789731e-05
97, 9.979658291430820e-01, -2.881794857271442e-04, 1.003417631464075e+00, 2.168398123266252e-01, 2.100339375571208e-03
98, 9.957820729228830e-01, -5.967886532841323e-04, 1.003254708920418e+00, 2.064955486278072e-01, 2.346748759157340e-03
99, 9.934384637941019e-01, -9.270488597400344e-04, 1.003090406138561e+00, 1.960636509674847e-01, 2.239153530781572e-03
100, 9.909241437988340e-01, -1.280289614488857e-03, 1.002952674731453e+00, 1.873188206772228e-01, 2.116088981606637e-03
101, 9.882276487590520e-01, -1.657893415929766e-03, 1.002839438083484e+00, 1.801292094627659e-01, 2.043617292870442e-03
102, 9.853368952903420e-01, -2.061293361678059e-03, 1.002745612189682e+00, 1.741720241311045e-01, 2.027185340167160e-03
103, 9.822391712272380e-01, -2.491969834944034e-03, 1.002664603766254e+00, 1.690286444921776e-01, 2.048731091631514e-03
104, 9.789211302792580e-01, -2.951446198418808e-03, 1.002591194104487e+00, 1.643677247549765e-01, 2.087519245596690e-03
105, 9.753687917200690e-01, -3.441283350046040e-03, 1.002522229678225e+00, 1.599890415164205e-01, 2.129188262385886e-03
106, 9.715675460812661e-01, -3.963073044857662e-03, 1.002456286991457e+00, 1.558022142939530e-01, 2.167031358934975e-03
107, 9.675021678017420e-01, -4.518429822299970e-03, 1.002392931896234e+00, 1.517796782044458e-01, 2.199698864659347e-03
108, 9.631568360186920e-01, -5.108981458577545e-03, 1.002332129408180e+00, 1.479192120230234e-01, 2.228304967090351e-03
109, 9.585151646336830e-01, -5.736357801147233e-03, 1.002273894518313e+00, 1.442217675581129e-01, 2.254388540325896e-03
110, 9.535602429161220e-01, -6.402177880090121e-03, 1.002218267730971e+00, 1.406899165074458e-01, 2.279049038620888e-03
111, 9.482746880048850e-01, -7.108035234927211e-03, 1.002165253038296e+00, 1.373239123398859e-01, 2.302814127475387e-03
112, 9.426407105822270e-01, -7.855481327107042e-03, 1.002114819728772e+00, 1.341218051224412e-01, 2.325835322829916e-03
113, 9.366401951685740e-01, -8.646007049145999e-03, 1.002066967461074e+00, 1.310835731838779e-01, 2.348120575920359e-03
