"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient"
96, 1.000000000000000e+00, 5.352202629500000e-08, 1.001521935357246e+00, 9.647844316446644e-02, 3.440476093305577e-05
97, 9.979658291430820e-01, -2.881794857271442e-04, 1.002080682765031e+00, 1.319543840468458e-01, 4.184052003081921e-03
98, 9.957820729228830e-01, -5.967886532841323e-04, 1.002058296141337e+00, 1.305330145198219e-01, 3.727701749046726e-03
99, 9.934384637941019e-01, -9.270488597400344e-04, 1.001973239949479e+00, 1.251326343265708e-01, 3.118744310209567e-03
100, 9.909241437988340e-01, -1.280289614488857e-03, 1.001936953838051e+00, 1.228287597565158e-01, 2.770031241861069e-03
101, 9.882276487590520e-01, -1.657893415929766e-03, 1.001930101351772e+00, 1.223936823051829e-01, 2.635850272107416e-03
102, 9.853368952903420e-01, -2.061293361678059e-03, 1.001943361135840e+00, 1.232355713397310e-01, 2.609612883810493e-03
103, 9.822391712272380e-01, -2.491969834944034e-03, 1.001966702196642e+00, 1.247175399030206e-01, 2.618100209653409e-03
104, 9.789211302792580e-01, -2.951446198418808e-03, 1.001993855186710e+00, 1.264415351413001e-01, 2.630744353123106e-03
105, 9.753687917200690e-01, -3.441283350046040e-03, 1.002021674240720e+00, 1.282078200523812e-01, 2.639510469395081e-03
106, 9.715675460812661e-01, -3.963073044857662e-03, 1.002048886346676e+00, 1.299355686713926e-01, 2.644086820701331e-03
107, 9.675021678017420e-01, -4.518429822299970e-03, 1.002075018088062e+00, 1.315947228788978e-01, 2.645875400171511e-03
108, 9.631568360186920e-01, -5.108981458577545e-03, 1.002100004217023e+00, 1.331811399638636e-01, 2.646727535024415e-03
109, 9.585151646336830e-01, -5.736357801147233e-03, 1.002120750150796e+00, 1.344983389518818e-01, 2.646704726884226e-03
110, 9.535602429161220e-01, -6.402177880090121e-03, 1.002140190286734e+00, 1.357326303394921e-01, 2.646728668122312e-03
111, 9.482746880048850e-01, -7.108035234927211e-03, 1.002159123359265e+00, 1.369347273022559e-01, 2.646946876722857e-03
112, 9.426407105822270e-01, -7.855481327107042e-03, 1.002177268602080e+00, 1.380868034504674e-01, 2.646693024592486e-03
113, 9.366401951685740e-01, -8.646007049145999e-03, 1.002195374801535e+00, 1.392364006611488e-01, 2.646521709707195e-03
114, 9.302547962764830e-01, -9.481022247350132e-03, 1.002213891951303e+00, 1.404120898926938e-01, 2.646323843819568e-03
115, 9.234660517702999e-01, -1.036183331256595e-02, 1.002233233032999e+00, 1.416400921371291e-01, 2.645567191689101e-03
116, 9.162555145009680e-01, -1.128961886009035e-02, 1.002253782003357e+00, 1.429447855414402e-01, 2.644527353099577e-03
117, 9.086049032279730e-01, -1.226540359178139e-02, 1.002275915759740e+00, 1.443501000395650e-01, 2.643419544101275e-03
118, 9.004962734807360e-01, -1.329003047580013e-02, 1.002300002780110e+00, 1.458794310015962e-01, 2.641628749413228e-03
119, 8.919122087664410e-01, -1.436413140679768e-02, 1.002326469375104e+00, 1.475598457047352e-01, 2.639729558311476e-03
120, 8.828360320456839e-01, -1.548809659764239e-02, 1.002355692566573e+00, 1.494152819868710e-01, 2.637377992587634e-03
121, 8.732520369379220e-01, -1.666204293780597e-02, 1.002388063021729e+00, 1.514705440559617e-01, 2.634799124654138e-03
122, 8.631457374960591e-01, -1.788578165295289e-02, 1.002423941479945e+00, 1.537485359443997e-01, 2.631790031450767e-03
123, 8.525041346896460e-01, -1.915878563887750e-02, 1.002463667574950e+00, 1.562708216467649e-01, 2.628659642541124e-03
124, 8.413159970120960e-01, -2.048015683562499e-02, 1.002507542673202e+00, 1.590565354955075e-01, 2.624995216822009e-03
125, 8.295721517532200e-01, -2.184859409030840e-02, 1.002555848268044e+00, 1.621235500409555e-01, 2.621205836704634e-03
126, 8.172657826166300e-01, -2.326236201353585e-02, 1.002608797362613e+00, 1.654853892594230e-01, 2.617065281251576e-03
127, 8.043927284804649e-01, -2.471926132528821e-02, 1.002666601838072e+00, 1.691555058908896e-01, 2.612651354947934e-03
128, 7.909517772165610e-01, -2.621660130830753e-02, 1.002729448205264e+00, 1.731457418653348e-01, 2.608020019750393e-03
129, 7.769449477048480e-01, -2.775117492280826e-02, 1.002797529103549e+00, 1.774683282239276e-01, 2.603090114371637e-03
130, 7.623777524675190e-01, -2.931923744885270e-02, 1.002870934877275e+00, 1.821290011019177e-01, 2.597971952693955e-03
131, 7.472594328699030e-01, -3.091648930628510e-02, 1.002949873781406e+00, 1.871409830051410e-01, 2.592588230973677e-03
132, 7.316031585245610e-01, -3.253806414443636e-02, 1.003034242549171e+00, 1.924977173287921e-01, 2.586972333978501e-03
133, 7.154261825498690e-01, -3.417852304597178e-02, 1.003124164171953e+00, 1.982070130309470e-01, 2.581150264351750e-03
134, 6.987499446352849e-01, -3.583185629664898e-02, 1.003219751639559e+00, 2.042760440504194e-01, 2.575108588581479e-03
135, 6.816001145580280e-01, -3.749149362242028e-02, 1.003321229783952e+00, 2.107190853982053e-01, 2.568856173722043e-03
136, 6.640065698311099e-01, -3.915032464739417e-02, 1.003428907685924e+00, 2.175557612046679e-01, 2.562383069370480e-03
137, 6.460033025913720e-01, -4.080073056778152e-02, 1.003543678678732e+00, 2.248427909056211e-01, 2.555565800774572e-03
138, 6.276282525902900e-01, -4.243462858861940e-02, 1.003665742901320e+00, 2.325928817052029e-01, 2.548226755428333e-03
139, 6.089230652104620e-01, -4.404353001843556e-02, 1.003794317995410e+00, 2.407563601810706e-01, 2.540388639424414e-03
140, 5.899327756923080e-01, -4.561861289428874e-02, 1.003929446376247e+00, 2.493359193580927e-01, 2.532180367257677e-03
141, 5.707054231490321e-01, -4.715080946865579e-02, 1.004072941878038e+00, 2.584467230369903e-01, 2.523533002533152e-03
142, 5.512916003363530e-01, -4.863090808605761e-02, 1.004225938536129e+00, 2.681607732894247e-01, 2.514048974894790e-03
143, 5.317439474301470e-01, -5.004966851411126e-02, 1.004386851038316e+00, 2.783774156134933e-01, 2.503574697493959e-03
144, 5.121166001065770e-01, -5.139794887290158e-02, 1.004556388329478e+00, 2.891416622745231e-01, 2.492238176563576e-03
145, 4.924646039207970e-01, -5.266684144175821e-02, 1.004737229415206e+00, 3.006236084580990e-01, 2.479731988156306e-03
146, 4.728433082391680e-01, -5.384781416072871e-02, 1.004927616266345e+00, 3.127116335328949e-01, 2.465556729662273e-03
147, 4.533077537294870e-01, -5.493285287912920e-02, 1.005128890840388e+00, 3.254909409451426e-01, 2.449779695207530e-03
148, 4.339120676130220e-01, -5.591460064650605e-02, 1.005343187284383e+00, 3.390970317699929e-01, 2.431950913478502e-03
149, 4.147088805266780e-01, -5.678648875377961e-02, 1.005567850230852e+00, 3.533613116509218e-01, 2.411920156619488e-03
150, 3.957487779587870e-01, -5.754285488135374e-02, 1.005807219673642e+00, 3.685593350925367e-01, 2.389330683604867e-03
151, 3.770797978812900e-01, -5.817904262446177e-02, 1.006057827476402e+00, 3.844709034891315e-01, 2.363884782055826e-03
152, 3.587469844042950e-01, -5.869148183384367e-02, 1.006323963814943e+00, 4.013684083028946e-01, 2.335364680369952e-03
153, 3.407920053178110e-01, -5.907774237985596e-02, 1.006601731707953e+00, 4.190044227418948e-01, 2.303487828627811e-03
154, 3.232528390902350e-01, -5.933656107664884e-02, 1.006893092279244e+00, 4.375034623052952e-01, 2.268226308815283e-03
155, 3.061635345664540e-01, -5.946784792894075e-02, 1.007194872888203e+00, 4.566640899765836e-01, 2.229394152542553e-03
